Frequency (Hz),FFT Magnitude (dB)
1379.88,-70.803
1380.86,-70.015
1381.84,-69.792
1382.81,-70.289
1383.79,-70.495
1384.77,-71.602
1385.74,-69.947
1386.72,-70.155
1387.70,-71.441
1388.67,-71.669
1389.65,-71.370
1390.62,-69.901
1391.60,-70.548
1392.58,-71.375
1393.55,-70.949
1394.53,-71.809
1395.51,-70.828
1396.48,-70.548
1397.46,-71.435
1398.44,-71.369
1399.41,-70.246
1400.39,-69.893
1401.37,-70.470
1402.34,-70.529
1403.32,-71.926
1404.30,-70.517
1405.27,-70.624
1406.25,-71.631
1407.23,-71.116
1408.20,-71.813
1409.18,-70.427
1410.16,-69.678
1411.13,-71.518
1412.11,-70.994
1413.09,-70.139
1414.06,-71.462
1415.04,-71.041
1416.02,-70.291
1416.99,-71.289
1417.97,-70.881
1418.95,-71.615
1419.92,-71.392
1420.90,-71.667
1421.88,-72.558
1422.85,-71.600
1423.83,-71.574
1424.80,-70.585
1425.78,-70.583
1426.76,-71.790
1427.73,-71.008
1428.71,-71.891
1429.69,-71.924
1430.66,-71.655
1431.64,-71.746
1432.62,-71.116
1433.59,-71.169
1434.57,-71.726
1435.55,-70.796
1436.52,-71.023
1437.50,-71.564
1438.48,-70.887
1439.45,-70.370
1440.43,-72.746
1441.41,-71.177
1442.38,-71.794
1443.36,-71.786
1444.34,-71.841
1445.31,-71.725
1446.29,-72.487
1447.27,-72.157
1448.24,-71.136
1449.22,-71.625
1450.20,-71.481
1451.17,-71.413
1452.15,-71.866
1453.12,-71.570
