Frequency (Hz),FFT Magnitude (dB)
1296.88,-68.702
1297.85,-69.840
1298.83,-70.727
1299.80,-70.157
1300.78,-70.482
1301.76,-70.041
1302.73,-69.199
1303.71,-70.190
1304.69,-71.648
1305.66,-70.008
1306.64,-69.825
1307.62,-71.267
1308.59,-71.208
1309.57,-69.688
1310.55,-70.747
1311.52,-71.813
1312.50,-70.183
1313.48,-69.846
1314.45,-70.210
1315.43,-69.721
1316.41,-70.479
1317.38,-70.990
1318.36,-70.628
1319.34,-69.715
1320.31,-69.740
1321.29,-70.676
1322.27,-70.612
1323.24,-70.618
1324.22,-70.217
1325.20,-70.229
1326.17,-69.583
1327.15,-69.527
1328.12,-70.354
1329.10,-70.400
1330.08,-70.511
1331.05,-69.666
1332.03,-71.164
1333.01,-70.989
1333.98,-70.858
1334.96,-71.410
1335.94,-71.156
1336.91,-71.079
1337.89,-71.291
1338.87,-70.157
1339.84,-71.171
1340.82,-70.158
1341.80,-70.846
1342.77,-70.138
1343.75,-69.532
1344.73,-70.110
1345.70,-70.365
1346.68,-70.271
1347.66,-71.387
1348.63,-71.133
1349.61,-71.263
1350.59,-70.701
1351.56,-70.920
1352.54,-71.199
1353.52,-71.238
1354.49,-70.526
1355.47,-69.518
1356.45,-70.051
1357.42,-70.341
1358.40,-71.156
1359.38,-71.293
1360.35,-70.488
1361.33,-71.111
1362.30,-71.815
1363.28,-70.263
1364.26,-70.380
1365.23,-70.841
1366.21,-70.478
1367.19,-71.809
1368.16,-71.059
1369.14,-70.658
1370.12,-70.781
1371.09,-71.028
1372.07,-71.283
1373.05,-71.207
1374.02,-70.946
1375.00,-70.789
1375.98,-68.981
1376.95,-69.795
1377.93,-70.639
1378.91,-70.321
1379.88,-69.766
1380.86,-70.891
1381.84,-70.785
1382.81,-70.959
1383.79,-70.539
1384.77,-70.728
1385.74,-71.835
1386.72,-70.533
1387.70,-70.940
1388.67,-71.124
1389.65,-71.520
1390.62,-70.713
1391.60,-69.934
1392.58,-70.112
1393.55,-70.367
1394.53,-70.952
1395.51,-71.275
1396.48,-70.886
1397.46,-69.681
1398.44,-70.377
1399.41,-70.460
1400.39,-71.918
1401.37,-70.960
1402.34,-69.428
1403.32,-70.039
1404.30,-71.063
1405.27,-70.653
1406.25,-71.785
1407.23,-71.349
1408.20,-69.959
1409.18,-70.111
1410.16,-71.094
1411.13,-70.416
1412.11,-68.691
1413.09,-69.104
1414.06,-71.855
1415.04,-71.185
1416.02,-71.232
1416.99,-71.045
1417.97,-70.687
1418.95,-69.649
1419.92,-69.863
1420.90,-69.327
1421.88,-69.086
1422.85,-70.042
1423.83,-70.379
1424.80,-70.950
1425.78,-70.543
1426.76,-70.207
1427.73,-71.693
1428.71,-70.166
1429.69,-71.021
1430.66,-70.440
1431.64,-71.393
1432.62,-68.742
1433.59,-69.741
1434.57,-69.705
1435.55,-69.800
1436.52,-69.383
1437.50,-69.904
1438.48,-69.024
1439.45,-68.353
1440.43,-70.232
1441.41,-69.172
1442.38,-69.632
1443.36,-70.337
1444.34,-68.834
1445.31,-69.931
1446.29,-70.177
1447.27,-69.425
1448.24,-70.302
1449.22,-67.788
1450.20,-68.665
1451.17,-70.180
1452.15,-69.667
1453.12,-69.820
